n,p,k,support_set
25,64,12,[ 6 18 36 42 44 48 49 58]
51,128,25,[  3   7  15  30  39  41  42  50  53  64  76  77 101 109 111 119]
102,256,51,"[  1   2   7  24  28  32  34  37  58  68  79  86  95  99 107 120 124 131
 132 135 140 147 150 160 165 167 169 187 192 200 212 216 225 236 249]"
204,512,102,"[  0  35  45  49  54  61  68  74  79  85  86  99 102 104 106 111 120 122
 123 128 140 145 147 152 176 185 193 210 236 262 299 300 309 333 337 347
 351 358 376 380 415 432 445 462 477 481 482 485 487 496 504 508 509 510]"
409,1024,204,"[   0    9   15   31   43   61   83   91   93  119  121  135  157  160
  171  194  196  208  230  242  247  249  269  276  278  283  286  304
  313  319  322  327  341  363  383  397  405  407  415  437  442  444
  460  463  464  471  501  521  528  529  543  560  565  572  576  581
  584  587  593  618  622  629  638  639  643  655  665  669  672  675
  707  772  773  779  806  816  824  827  835  844  866  869  870  882
  883  887  891  897  913  923  941  944  949  953  971  978  984  996
 1016]"
