n,p,k,support_set
100,256,25,"[ 18  22  37  43  57  59  66  76  77  84  89 101 124 125 131 136 185 207
 214 221 223 241 248 250 253]"
100,256,38,"[  0   1  13  15  24  25  34  45  49  62  67  69  77  86  90  93 123 134
 144 151 161 162 163 166 168 170 173 182 194 195 206 215 216 226 228 246
 247 253]"
100,256,51,"[  0   6   9  16  17  19  32  55  60  61  66  68  96 134 145 152 154 164
 167 175 178 180 203 207 209 220 230 249]"
100,256,64,"[  0   1   7  15  23  47  60  65  66  87  99 102 104 109 113 118 137 151
 152 163 164 165 170 172 180 191 192 194 221 227]"
100,256,76,"[  0  27  28  30  42  50  54  57  62  66  70  74  76  79  84  88  89  92
 103 109 112 121 130 140 142 145 156 167 180 190 191 192 195 197 203 204
 212 214 243]"
