n,p,k,support_set
100,256,25,"[  3  29  37  57  64  65  78  87  96 107 135 139 141 146 155 185 194 211
 220 224 229 230 233 237 244]"
100,256,38,[  2   5  15  54  66  70  81  93  97 128 147 166 196 207 214 218 228 232]
100,256,51,"[ 22  43  44  57  74  95  96 107 117 130 154 155 158 164 170 175 190 193
 212 213 229 236 240 243 244]"
100,256,64,"[ 23  37  50  52  59  76  79 101 111 117 130 134 139 157 188 206 211 223
 237 244 249]"
100,256,76,[ 28  32  71  93 100 114 118 124 138 140 151 161 197 208 224 230 247]
